HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2022-11-03 22:00;2022-11-03 23:00;DK1;625,159973;83,989998
2022-11-03 21:00;2022-11-03 22:00;DK1;714,770020;96,029999
2022-11-03 20:00;2022-11-03 21:00;DK1;687,010010;92,300003
2022-11-03 19:00;2022-11-03 20:00;DK1;692,669983;93,059998
2022-11-03 18:00;2022-11-03 19:00;DK1;713,659973;95,879997
2022-11-03 17:00;2022-11-03 18:00;DK1;821,359985;110,349998
2022-11-03 16:00;2022-11-03 17:00;DK1;888,130005;119,320000
2022-11-03 15:00;2022-11-03 16:00;DK1;827,390015;111,160004
2022-11-03 14:00;2022-11-03 15:00;DK1;766,059998;102,919998
2022-11-03 13:00;2022-11-03 14:00;DK1;819,950012;110,160004
2022-11-03 12:00;2022-11-03 13:00;DK1;795,380005;106,860001
2022-11-03 11:00;2022-11-03 12:00;DK1;749,010010;100,629997
2022-11-03 10:00;2022-11-03 11:00;DK1;763,380005;102,559998
2022-11-03 09:00;2022-11-03 10:00;DK1;679,049988;91,230003
2022-11-03 08:00;2022-11-03 09:00;DK1;669,000000;89,879997
2022-11-03 07:00;2022-11-03 08:00;DK1;625,460022;84,029999
2022-11-03 06:00;2022-11-03 07:00;DK1;649,049988;87,199997
2022-11-03 05:00;2022-11-03 06:00;DK1;565,690002;76,000000
2022-11-03 04:00;2022-11-03 05:00;DK1;372,160004;50,000000
2022-11-03 03:00;2022-11-03 04:00;DK1;316,109985;42,470001
2022-11-03 02:00;2022-11-03 03:00;DK1;299,290009;40,209999
2022-11-03 01:00;2022-11-03 02:00;DK1;289,910004;38,950001
2022-11-03 00:00;2022-11-03 01:00;DK1;344,920013;46,340000
2022-11-02 23:00;2022-11-03 00:00;DK1;497,579987;66,849998
2022-11-02 22:00;2022-11-02 23:00;DK1;569,270020;76,470001
2022-11-02 21:00;2022-11-02 22:00;DK1;658,679993;88,480003
2022-11-02 20:00;2022-11-02 21:00;DK1;621,909973;83,540001
2022-11-02 19:00;2022-11-02 20:00;DK1;705,429993;94,760002
2022-11-02 18:00;2022-11-02 19:00;DK1;777,419983;104,430000
2022-11-02 17:00;2022-11-02 18:00;DK1;1043,180054;140,130005
2022-11-02 16:00;2022-11-02 17:00;DK1;1088,670044;146,240005
2022-11-02 15:00;2022-11-02 16:00;DK1;728,359985;97,839996
2022-11-02 14:00;2022-11-02 15:00;DK1;679,669983;91,300003
2022-11-02 13:00;2022-11-02 14:00;DK1;537,260010;72,169998
2022-11-02 12:00;2022-11-02 13:00;DK1;392,019989;52,660000
2022-11-02 11:00;2022-11-02 12:00;DK1;297,329987;39,939999
2022-11-02 10:00;2022-11-02 11:00;DK1;316,980011;42,580002
2022-11-02 09:00;2022-11-02 10:00;DK1;350,480011;47,080002
2022-11-02 08:00;2022-11-02 09:00;DK1;543,659973;73,029999
2022-11-02 07:00;2022-11-02 08:00;DK1;723,000000;97,120003
2022-11-02 06:00;2022-11-02 07:00;DK1;723,520020;97,190002
2022-11-02 05:00;2022-11-02 06:00;DK1;518,950012;69,709999
2022-11-02 04:00;2022-11-02 05:00;DK1;223,410004;30,010000
2022-11-02 03:00;2022-11-02 04:00;DK1;150,380005;20,200001
2022-11-02 02:00;2022-11-02 03:00;DK1;113,750000;15,280000
2022-11-02 01:00;2022-11-02 02:00;DK1;129,380005;17,379999
2022-11-02 00:00;2022-11-02 01:00;DK1;181,199997;24,340000
2022-11-01 23:00;2022-11-02 00:00;DK1;408,850006;54,919998
2022-11-01 22:00;2022-11-01 23:00;DK1;206,270004;27,709999
2022-11-01 21:00;2022-11-01 22:00;DK1;517,880005;69,570000
2022-11-01 20:00;2022-11-01 21:00;DK1;533,510010;71,669998
2022-11-01 19:00;2022-11-01 20:00;DK1;626,710022;84,190002
2022-11-01 18:00;2022-11-01 19:00;DK1;759,890015;102,080002
2022-11-01 17:00;2022-11-01 18:00;DK1;933,260010;125,370003
2022-11-01 16:00;2022-11-01 17:00;DK1;834,250000;112,070000
2022-11-01 15:00;2022-11-01 16:00;DK1;665,419983;89,389999
2022-11-01 14:00;2022-11-01 15:00;DK1;595,520020;80,000000
2022-11-01 13:00;2022-11-01 14:00;DK1;512,820007;68,889999
2022-11-01 12:00;2022-11-01 13:00;DK1;306,989990;41,240002
2022-11-01 11:00;2022-11-01 12:00;DK1;287,269989;38,590000
2022-11-01 10:00;2022-11-01 11:00;DK1;364,089996;48,910000
2022-11-01 09:00;2022-11-01 10:00;DK1;425,649994;57,180000
2022-11-01 08:00;2022-11-01 09:00;DK1;503,589996;67,650002
2022-11-01 07:00;2022-11-01 08:00;DK1;628,280029;84,400002
2022-11-01 06:00;2022-11-01 07:00;DK1;580,559998;77,989998
2022-11-01 05:00;2022-11-01 06:00;DK1;446,269989;59,950001
2022-11-01 04:00;2022-11-01 05:00;DK1;406,670013;54,630001
2022-11-01 03:00;2022-11-01 04:00;DK1;288,529999;38,759998
2022-11-01 02:00;2022-11-01 03:00;DK1;275,429993;37,000000
2022-11-01 01:00;2022-11-01 02:00;DK1;411,359985;55,259998
2022-11-01 00:00;2022-11-01 01:00;DK1;570,809998;76,680000
2022-10-31 23:00;2022-11-01 00:00;DK1;600,359985;80,650002
