Timestep,Demand (MW),Generation (MWh),Wind Power (MW) Left,Wind Power (MW) Right,Spot Price (CHF/MWh),Up Reg Price (CHF/MWh),Down Reg Price (CHF/MWh),Consumption Price (CHF/MWh),Imbalance Sign,Reg Price (CHF/MWh)
2013-11-01 00:00:00,0.000277672,0.0,0.00163238577,0.002887438435,75.077388,78.9644169582,78.9644169582,78.9644169582,0,78.9644169582
2013-11-01 01:00:00,0.0002295665,0.0,0.0013832248508333334,0.002693148185,54.1050640418,75.077388,75.077388,75.077388,0,75.077388
2013-11-01 02:00:00,0.00020852850000000001,0.0,0.0011899319191666668,0.002263045201666667,36.2267,54.1050640418,54.1050640418,54.1050640418,0,54.1050640418
2013-11-01 03:00:00,0.000196212,0.0,0.0012052911241666666,0.0015976944708333332,37.9499140418,36.2267,36.2267,36.2267,0,36.2267
2013-11-01 04:00:00,0.00019533000000000002,0.0,0.0011817800216666668,0.0013264401508333334,53.488233979099995,37.9499140418,37.9499140418,37.9499140418,0,37.9499140418
2013-11-01 05:00:00,0.00023362600000000002,0.0,0.0013469612708333334,0.0016155908008333333,58.6970459791,53.488233979099995,24.96705,24.96705,1,53.488233979099995
2013-11-01 06:00:00,0.000367887,4.4496e-07,0.0012848893083333335,0.0018918522550000004,76.3600070418,58.6970459791,36.2267,36.2267,1,58.6970459791
2013-11-01 07:00:00,0.0005428284999999999,6.6164025e-06,0.0015136437333333334,0.0015775809958333334,82.6360419582,76.3600070418,76.3600070418,76.3600070418,0,76.3600070418
2013-11-01 08:00:00,0.0005278085,5.47551e-05,0.0010723536075,0.0008469573425,66.2361169582,82.6360419582,82.6360419582,82.6360419582,0,82.6360419582
2013-11-01 09:00:00,0.000542879,0.00016517175000000002,0.0008351708483333333,0.0008586709741666667,55.984938,88.119,66.2361169582,88.119,-1,66.2361169582
2013-11-01 10:00:00,0.000548411,0.000274748,0.000786757235,0.0011793293258333334,47.887781,93.0145,55.984938,93.0145,-1,55.984938
2013-11-01 11:00:00,0.0005470095,0.000247758,0.0006783998641666666,0.0013428125974999999,37.783469000000004,92.0745649791,47.887781,92.0745649791,-1,47.887781
2013-11-01 12:00:00,0.00057467,0.00023676075,0.0007480776441666666,0.0010768077625,40.378085958199996,78.8762940418,37.783469000000004,78.8762940418,-1,37.783469000000004
2013-11-01 13:00:00,0.000549688,0.00015543325,0.0007658701866666666,0.0008399038841666668,67.4501980209,47.51572202089999,40.378085958199996,47.51572202089999,-1,40.378085958199996
2013-11-01 14:00:00,0.000603308,8.877850000000002e-05,0.0008427219266666667,0.0009387627683333333,78.328,67.4501980209,67.4501980209,67.4501980209,0,67.4501980209
2013-11-01 15:00:00,0.000695934,1.421388e-05,0.0011302401974999999,0.0012272433741666667,87.5217480209,78.328,78.328,78.328,0,78.328
2013-11-01 16:00:00,0.0008169364999999999,2.014475e-07,0.0013464911091666668,0.0015954308408333332,109.72773699999999,87.5217480209,87.5217480209,87.5217480209,0,87.5217480209
2013-11-01 17:00:00,0.0008529175,0.0,0.0013438195741666667,0.0015290087641666667,122.74976993729999,118.3731919582,109.72773699999999,118.3731919582,-1,109.72773699999999
2013-11-01 18:00:00,0.0008441345,0.0,0.0007651861058333333,0.00085115726,99.94652995819999,122.74976993729999,122.74976993729999,122.74976993729999,0,122.74976993729999
2013-11-01 19:00:00,0.000772543,0.0,0.0003031617175,0.0006548070258333334,82.4304309582,99.94652995819999,99.94652995819999,99.94652995819999,0,99.94652995819999
2013-11-01 20:00:00,0.0007184429999999999,0.0,0.00010595466833333333,0.0005703966391666667,70.1720950418,82.4304309582,82.4304309582,82.4304309582,0,82.4304309582
2013-11-01 21:00:00,0.0006324610000000001,0.0,2.3164534999999997e-05,0.0003566730108333333,68.11598699999999,70.1720950418,70.1720950418,70.1720950418,0,70.1720950418
2013-11-01 22:00:00,0.000523219,0.0,2.70087775e-05,0.00029781408416666667,27.1308600209,68.11598699999999,59.1865959791,59.1865959791,1,68.11598699999999
2013-11-01 23:00:00,0.0003797335,0.0,0.00013736932833333335,0.00025432512333333336,53.772170041799995,27.1308600209,13.149313,13.149313,1,27.1308600209
2013-11-02 00:00:00,0.000277672,0.0,0.000410796565,0.00027482430916666667,23.831294,53.772170041799995,13.149313,13.149313,1,53.772170041799995
2013-11-02 01:00:00,0.0002295665,0.0,0.0007819038250000001,0.0002853071558333334,17.016757020900002,23.831294,2.036528,2.036528,1,23.831294
2013-11-02 02:00:00,0.00020852850000000001,0.0,0.0011954059641666665,0.0005404615175,14.960647999999999,17.016757020900002,2.046319,2.046319,1,17.016757020900002
2013-11-02 03:00:00,0.000196212,0.0,0.0017532358625,0.0011198703875,19.7778209791,14.960647999999999,0.0,0.0,1,14.960647999999999
2013-11-02 04:00:00,0.00019533000000000002,0.0,0.0015980592716666668,0.0014232384825,29.382791,19.7778209791,0.0,0.0,1,19.7778209791
2013-11-02 05:00:00,0.00023362600000000002,0.0,0.0017919495958333331,0.0013354795733333334,68.2530600209,29.382791,7.8328,7.8328,1,29.382791
2013-11-02 06:00:00,0.000367887,4.4496e-07,0.0014819355658333333,0.0019406183083333331,95.15873095820001,68.2530600209,68.2530600209,68.2530600209,0,68.2530600209
2013-11-02 07:00:00,0.0005428284999999999,6.6164025e-06,0.0008264101933333334,0.0024720920258333337,95.0901949373,95.15873095820001,95.15873095820001,95.15873095820001,0,95.15873095820001
2013-11-02 08:00:00,0.0005278085,5.47551e-05,0.0011709347891666667,0.0025915344358333333,71.5036720209,107.701,95.0901949373,107.701,-1,95.0901949373
2013-11-02 09:00:00,0.000542879,0.00016517175000000002,0.00192670415,0.003197512759166667,46.0960299582,105.7623790627,71.5036720209,105.7623790627,-1,71.5036720209
2013-11-02 10:00:00,0.000548411,0.000274748,0.0020172030058333333,0.0034404393400000004,41.6900799582,102.8055,46.0960299582,102.8055,-1,46.0960299582
2013-11-02 11:00:00,0.0005470095,0.000247758,0.00242055473,0.004066914350833333,39.1052530209,102.8055,41.6900799582,102.8055,-1,41.6900799582
2013-11-02 12:00:00,0.00057467,0.00023676075,0.0030478619516666667,0.004528871444166666,51.559405999999996,92.0745649791,39.1052530209,92.0745649791,-1,39.1052530209
2013-11-02 13:00:00,0.000549688,0.00015543325,0.0034440310874999996,0.005252731115,70.6616450418,51.559405999999996,35.73715,35.73715,1,51.559405999999996
2013-11-02 14:00:00,0.000603308,8.877850000000002e-05,0.0036436348491666664,0.0046218166350000004,89.3918329373,70.6616450418,19.582,19.582,1,70.6616450418
2013-11-02 15:00:00,0.000695934,1.421388e-05,0.003431811870833333,0.004278405371666667,95.7951400836,89.3918329373,44.0595,44.0595,1,89.3918329373
2013-11-02 16:00:00,0.0008169364999999999,2.014475e-07,0.0029781441075,0.0035615205766666666,143.18358889549998,95.7951400836,68.53699999999999,68.53699999999999,1,95.7951400836
2013-11-02 17:00:00,0.0008529175,0.0,0.0030593438433333337,0.004354385973333333,137.2012878955,143.18358889549998,143.18358889549998,143.18358889549998,0,143.18358889549998
2013-11-02 18:00:00,0.0008441345,0.0,0.0032505537749999997,0.004418827533333333,102.24741300000001,137.2012878955,137.2012878955,137.2012878955,0,137.2012878955
2013-11-02 19:00:00,0.000772543,0.0,0.0034523502875000007,0.0042215780525,92.7795179582,102.24741300000001,102.24741300000001,102.24741300000001,0,102.24741300000001
2013-11-02 20:00:00,0.0007184429999999999,0.0,0.0038140296333333337,0.003544915453333333,81.7940149791,92.7795179582,92.7795179582,92.7795179582,0,92.7795179582
2013-11-02 21:00:00,0.0006324610000000001,0.0,0.004299181510833334,0.0033584843358333335,86.6307709373,81.7940149791,81.7940149791,81.7940149791,0,81.7940149791
2013-11-02 22:00:00,0.000523219,0.0,0.004772574701666667,0.0034245709274999996,74.87177797909999,86.6307709373,86.6307709373,86.6307709373,0,86.6307709373
2013-11-02 23:00:00,0.0003797335,0.0,0.005530269768333334,0.004093567245833333,65.45283304179999,74.87177797909999,61.683299999999996,61.683299999999996,1,74.87177797909999
